location,bedroom number,bathroom number,size,rent price
"Baitul Aman Housing Society, Adabor",3,3,1400 sqft,"৳27,000"
"Sector 12, Uttara",3,4,1950 sqft,"৳35,000"
"Sector 13, Uttara",3,4,2500 sqft,"৳70,000"
"Block D, Bashundhara R-A",3,3,1300 sqft,"৳60,000"
"Road No 7B, Banani",3,4,2100 sqft,"৳85,000"
"Gulshan 2, Gulshan",3,4,2200 sqft,"৳140,000"
"Block F, Aftab Nagar",3,4,1800 sqft,"৳25,000"
"Baitul Aman Housing Society, Adabor",3,3,1400 sqft,"৳22,000"
"Sector 9, Uttara",3,3,1450 sqft,"৳28,000"
"Mohonpur Road, Shyamoli",3,3,1100 sqft,"৳22,000"
"Gulshan 2, Gulshan",4,4,2900 sqft,"৳160,000"
"Kallyanpur, Mirpur",3,2,1250 sqft,"৳25,000"
"Block H, Aftab Nagar",3,3,1600 sqft,"৳26,000"
"Block M, Banasree",3,2,1150 sqft,"৳21,000"
"Block M, Banasree",3,2,1150 sqft,"৳21,000"
"Road No 2, Shyamoli",3,3,1500 sqft,"৳25,000"
"Section 1, Mirpur",3,3,1300 sqft,"৳20,000"
"Kallyanpur, Mirpur",3,3,1300 sqft,"৳20,000"
"Old Eskaton, Eskaton",3,3,1640 sqft,"৳45,000"
"Kallyanpur, Mirpur",3,3,1200 sqft,"৳22,000"
"Block E, Banasree",3,3,1400 sqft,"৳30,000"
"Block I, Bashundhara R-A",3,4,2000 sqft,"৳32,000"
"Sector 11, Uttara",3,4,1850 sqft,"৳70,000"
"Gulshan 2, Gulshan",4,5,3500 sqft,"৳180,000"
"Darussalam, Mirpur",3,3,1200 sqft,"৳20,000"
"Block J, Baridhara",3,4,2000 sqft,"৳45,000"
"Sector 4, Uttara",3,3,2100 sqft,"৳70,000"
"Sector 4, Uttara",3,3,2100 sqft,"৳70,000"
"Baitul Aman Housing Society, Adabor",3,3,1200 sqft,"৳20,000"
"Gulshan 2, Gulshan",5,5,4200 sqft,"৳250,000"
"Mohammadi Housing LTD., Mohammadpur",3,4,2000 sqft,"৳35,000"
"Sector 18, Uttara",3,4,1654 sqft,"৳55,000"
"Road No 4, Baridhara",4,4,4000 sqft,"৳400,000"
"Road No 4, Baridhara",4,4,4000 sqft,"৳400,000"
"Road No 4, Baridhara",4,4,4000 sqft,"৳400,000"
"Sector 12, Uttara",3,4,2190 sqft,"৳70,000"
"Block E, Banasree",3,3,1350 sqft,"৳30,000"
